property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,locality_square,locality_population_density,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km
1,1,1.0,2.0,8.0,5.0,26.0,830000000.0,131.0,0,0,0,0,64.87,1.983,31.8065234989087,0.4626141331778094,2.0,1.1249653160266009,1.0,0.4292908923255694,2.0,1.005708735461651,2.0,5.003439779735623,0.0,0.2482714281583424,17.0,5.088364417881627
1,1,2.0,2.0,20.0,17.0,25.0,72000000000.0,415.0,0,0,0,0,1.46,46.863,3.689531835435336,0.4288570629001585,154.0,0.3118117616331108,76.0,0.5711071626172188,19.0,0.2563639381331828,53.0,1.9454943767766408,6.0,0.1553122603368634,47.0,3.900284792001561
1,1,12.0,12.0,30.0,6.0,20.0,82000000000.0,106.0,0,0,0,0,0.99,68.299,1.4236699663337584,0.1008944875666734,173.0,0.3035788053231241,86.0,0.4773062638854318,46.0,0.3947019809617943,113.0,0.604291039900539,18.0,0.0891303616822696,90.0,1.0394068894087325
1,1,2.0,4.0,13.0,4.2,10.5,6600000000.0,45.0,1,1,1,1,2.52,36.951,6.834442705304491,0.2985284745369557,164.0,0.5429098623252844,61.0,0.4097508548051484,32.0,0.4443571518877237,33.0,3.0527421931343577,0.0,0.0495025649011573,46.0,5.088364417881627
1,0,4.0,6.0,14.0,4.47213595499958,13.416407864998737,9400000000.0,60.0,1,1,1,1,3.37,38.239,5.46912316211403,0.1755650750818743,64.0,0.5239478647461463,29.0,0.2455413210050974,9.0,0.5342557500688416,21.0,0.5562563546935235,7.0,0.1171643981009367,51.0,4.531780440683517
1,1,3.0,2.0,10.0,4.83045891539648,14.491376746189438,7000000000.0,70.0,1,1,1,1,7.15,23.097,10.035873377548295,0.1202792003391393,62.0,0.7940570555249221,15.0,0.5785627489676628,14.0,0.4205129244284443,25.0,2.799053811152463,1.0,0.0417572740637905,37.0,5.088364417881627
1,1,6.0,15.0,30.0,20.0,5.0,79000000000.0,95.0,1,1,1,1,1.32,61.537,3.697926043243007,0.1718438296278109,193.0,0.0808248175898799,81.0,0.0685624175584255,51.0,0.0700867890565216,70.0,0.0913558508966055,13.0,0.1041175126627032,91.0,3.0810228719302075
1,1,1.0,4.0,30.0,11.0,33.0,54450000000.0,363.0,0,0,0,0,3.02,46.502,7.491990724545586,0.5437001786480844,138.0,1.043868170816649,45.0,0.7408236185827164,27.0,0.4174937262587679,30.0,2.7826861671501675,1.0,0.2677999609885199,43.0,5.088364417881627
1,1,5.0,5.0,20.0,3.8,10.0,10200000000.0,36.0,0,0,0,0,1.27,71.502,6.347405962345484,0.2897405349640682,193.0,0.4641694033834687,67.0,0.534930568813806,44.0,0.8095463326053062,28.0,0.9979682168216238,5.0,0.0696003370800699,70.0,5.088364417881627
1,1,5.0,5.0,30.0,4.8,20.0,108000000000.0,98.0,0,0,0,0,1.85,38.809,0.9030639858522528,0.1764317325313514,146.0,0.3786499075275946,88.0,0.3340491056014009,40.0,0.0243052720372051,101.0,0.3829654363777388,19.0,0.0311660268603045,104.0,0.1703670445237422
1,1,5.0,5.0,30.0,4.0,14.0,25000000000.0,55.0,0,0,0,0,1.32,61.537,3.697926043243007,0.1718438296278109,193.0,0.0808248175898799,81.0,0.0685624175584255,51.0,0.0700867890565216,70.0,0.0913558508966055,13.0,0.1041175126627032,91.0,3.0810228719302075
